CAPITAL,"$ 8,175,926.25",plazo,24,TNA,53.90%,,,T.E.M.,4.49%,78.83%,,CAPITAL,"$ 8,175,926.25",plazo,36,TNA,53.90%,,,T.E.M.,4.49%,,CAPITAL,"$ 8,175,926.25",plazo,48,TNA,53.90%,,,T.E.M.,4.49%
CUOTA,CAPITAL,INTERES,IVA,CAPITAL,CUOTA (1),,AMORTIZACION,CAPITAL,SALDO,59.56%,,CUOTA,CAPITAL,INTERES,IVA,CAPITAL,CUOTA (1),,AMORTIZACION,CAPITAL,SALDO,,CUOTA,CAPITAL,INTERES,IVA,CAPITAL,CUOTA (1),,AMORTIZACION,CAPITAL,SALDO
,,,,,SIN IVA,CON IVA,PERIODO,ACUMULADO,DEUDA,4.96%,,,,,,,SIN IVA,CON IVA,PERIODO,ACUMULADO,DEUDA,,,,,,,SIN IVA,CON IVA,PERIODO,ACUMULADO,DEUDA
,,IVA,10.5%,,Promedio,"$ 586,968.40",,,,"-$ 8,175,926.25",,,,IVA,10.5%,,,"$ 474,637.44",,,,,,,IVA,10.5%,,," $  2,207,531.55 ",,,
30,"-$ 3,082,581.07","-$ 138,459.27","-$ 14,538.22","-$ 3,221,040.33","$ 563,563.87","$ 549,025.65","$ 702,023.14","$ 11,960,530.46","-$ 3,784,604.21","$549,025.65",,30,"$ 2,724,970.14","$ 122,396.58","$ 12,851.64","$ 2,847,366.72","$ 462,290.42","$ 475,142.06","$ 339,893.84","$ 5,790,849.95","$ 2,385,076.30",,30,"$ 5,267,137.98","$ 236,582.28","$ 24,841.14","$ 5,503,720.26","$ 417,959.49","$ 442,800.63","$ 181,377.21","$ 3,090,165.48","$ 5,085,760.77"
31,"-$ 3,784,604.21","-$ 169,991.81","-$ 17,849.14","-$ 3,954,596.01","$ 563,563.87","$ 545,714.74","$ 733,555.68","$ 12,694,086.14","-$ 4,518,159.89","$545,714.74",,31,"$ 2,385,076.30","$ 107,129.68","$ 11,248.62","$ 2,492,205.97","$ 462,290.42","$ 473,539.04","$ 355,160.74","$ 6,146,010.69","$ 2,029,915.56",,31,"$ 5,085,760.77","$ 228,435.42","$ 23,985.72","$ 5,314,196.19","$ 417,959.49","$ 441,945.21","$ 189,524.07","$ 3,279,689.56","$ 4,896,236.69"
32,"-$ 4,518,159.89","-$ 202,940.68","-$ 21,308.77","-$ 4,721,100.57","$ 563,563.87","$ 542,255.10","$ 766,504.56","$ 13,460,590.69","-$ 5,284,664.44","$542,255.10",,32,"$ 2,029,915.56","$ 91,177.04","$ 9,573.59","$ 2,121,092.60","$ 462,290.42","$ 471,864.01","$ 371,113.38","$ 6,517,124.07","$ 1,658,802.18",,32,"$ 4,896,236.69","$ 219,922.63","$ 23,091.88","$ 5,116,159.32","$ 417,959.49","$ 441,051.37","$ 198,036.86","$ 3,477,726.42","$ 4,698,199.83"
33,"-$ 5,284,664.44","-$ 237,369.51","-$ 24,923.80","-$ 5,522,033.96","$ 563,563.87","$ 538,640.08","$ 800,933.39","$ 14,261,524.08","-$ 6,085,597.83","$538,640.08",,33,"$ 1,658,802.18","$ 74,507.86","$ 7,823.33","$ 1,733,310.04","$ 462,290.42","$ 470,113.75","$ 387,782.56","$ 6,904,906.63","$ 1,271,019.62",,33,"$ 4,698,199.83","$ 211,027.48","$ 22,157.88","$ 4,909,227.31","$ 417,959.49","$ 440,117.38","$ 206,932.02","$ 3,684,658.44","$ 4,491,267.81"
34,"-$ 6,085,597.83","-$ 273,344.77","-$ 28,701.20","-$ 6,358,942.60","$ 563,563.87","$ 534,862.67","$ 836,908.64","$ 15,098,432.72","-$ 6,922,506.47","$534,862.67",,34,"$ 1,271,019.62","$ 57,089.96","$ 5,994.45","$ 1,328,109.59","$ 462,290.42","$ 468,284.87","$ 405,200.45","$ 7,310,107.08","$ 865,819.17",,34,"$ 4,491,267.81","$ 201,732.78","$ 21,181.94","$ 4,693,000.59","$ 417,959.49","$ 439,141.44","$ 216,226.71","$ 3,900,885.15","$ 4,275,041.10"
35,"-$ 6,922,506.47","-$ 310,935.92","-$ 32,648.27","-$ 7,233,442.39","$ 563,563.87","$ 530,915.60","$ 874,499.79","$ 15,972,932.51","-$ 7,797,006.26","$530,915.60",,35,"$ 865,819.17","$ 38,889.71","$ 4,083.42","$ 904,708.88","$ 462,290.42","$ 466,373.84","$ 423,400.71","$ 7,733,507.79","$ 442,418.46",,35,"$ 4,275,041.10","$ 192,020.60","$ 20,162.16","$ 4,467,061.69","$ 417,959.49","$ 438,121.66","$ 225,938.90","$ 4,126,824.05","$ 4,049,102.20"
36,"-$ 7,797,006.26","-$ 350,215.53","-$ 36,772.63","-$ 8,147,221.80","$ 563,563.87","$ 526,791.24","$ 913,779.41","$ 16,886,711.92","-$ 8,710,785.67","$526,791.24",,36,"$ 442,418.46","$ 19,871.96","$ 2,086.56","$ 462,290.42","$ 462,290.42","$ 464,376.98","$ 442,418.46","$ 8,175,926.25",$ 0.00,,36,"$ 4,049,102.20","$ 181,872.17","$ 19,096.58","$ 4,230,974.37","$ 417,959.49","$ 437,056.07","$ 236,087.32","$ 4,362,911.37","$ 3,813,014.88"
37,"-$ 8,710,785.67","-$ 391,259.46","-$ 41,082.24","-$ 9,102,045.13","$ 563,563.87","$ 522,481.63","$ 954,823.33","$ 17,841,535.25","-$ 9,665,609.00","$522,481.63",,37,$ 0.00,$ 0.00,$ 0.00,$ 0.00,"$ 462,290.42","$ 462,290.42","$ 462,290.42","$ 8,638,216.67","-$ 462,290.42",,37,"$ 3,813,014.88","$ 171,267.92","$ 17,983.13","$ 3,984,282.80","$ 417,959.49","$ 435,942.63","$ 246,691.58","$ 4,609,602.95","$ 3,566,323.30"
38,"-$ 9,665,609.00","-$ 434,146.94","-$ 45,585.43","-$ 10,099,755.94","$ 563,563.87","$ 517,978.45","$ 997,710.81","$ 18,839,246.07","-$ 10,663,319.82","$517,978.45",,38,"-$ 462,290.42","-$ 20,764.54","-$ 2,180.28","-$ 483,054.96","$ 462,290.42","$ 460,110.14","$ 483,054.96","$ 9,121,271.63","-$ 945,345.38",,38,"$ 3,566,323.30","$ 160,187.36","$ 16,819.67","$ 3,726,510.66","$ 417,959.49","$ 434,779.17","$ 257,772.14","$ 4,867,375.08","$ 3,308,551.17"
39,"-$ 10,663,319.82","-$ 478,960.78","-$ 50,290.88","-$ 11,142,280.60","$ 563,563.87","$ 513,272.99","$ 1,042,524.66","$ 19,881,770.72","-$ 11,705,844.47","$513,272.99",,39,"-$ 945,345.38","-$ 42,461.76","-$ 4,458.49","-$ 987,807.15","$ 462,290.42","$ 457,831.93","$ 504,752.18","$ 9,626,023.82","-$ 1,450,097.57",,39,"$ 3,308,551.17","$ 148,609.09","$ 15,603.95","$ 3,457,160.26","$ 417,959.49","$ 433,563.45","$ 269,350.40","$ 5,136,725.49","$ 3,039,200.76"
